word,x_coord,y_coord,word_count,rank
tēnei_whakaahua,-2.2429993,-3.5937687999999994,143,801
ō_rāua,3.7540884,-1.1372206,143,802
mātou,-1.4669101999999998,0.59311324,143,803
whakaritenga,-3.5744803,-1.9097146,143,804
waitara,2.2523272,1.8052652,143,805
pāngia,0.1441723,0.62179196,143,806
hēmi,2.946703,-2.686277,142,807
ūpoko,-0.067393675,1.6100882,142,808
mana_motuhake,-2.4503193,-1.9580566,142,809
pāpā,3.8124788,-1.6660645,141,810
wera,0.7446343000000001,1.115489,140,811
rironga,-3.7243466,-1.1989388,140,812
taha_mauī,-0.07826591,2.0039623,140,813
kaipupuri,-3.827908,-0.5290851,139,814
whakatūnga,-0.687254,-2.10657,139,815
rōpū_whakamana,-3.912367,-1.880581,139,816
whakatikatika,-3.247122,-1.4232376,139,817
whāiti,-2.0896914,0.5244119,139,818
kiriata,-1.3502629,-3.9483886,139,819
hōri,3.0620248,-2.5924828,139,820
keepa,2.0865974,-1.5480088,139,821
taiaroa,2.3361490000000003,-1.0231605,139,822
kerei,1.8056804,-1.7383546000000003,139,823
hiki,0.08844735,0.13714916,138,824
waha,-0.9126238,2.0999904,138,825
rohe_pōtae,2.740459,2.8622282,138,826
huruhuru,-0.92193156,2.603132,137,827
hāpai,-2.6374857000000005,-1.3735178,137,828
taka_rawa,-0.28759146,0.245581,137,829
heoti,1.6964740000000005,-1.3701556,137,830
whiriwhiri,-3.0893657,-1.6003531000000002,136,831
pēhea,-2.08071,-0.30619854,136,832
ranginui,3.3955050000000004,-0.4017847,136,833
mau_pū,0.79703,0.1581793,136,834
waewae,-0.6852611,2.3026233,135,835
tūranganuiakiwa,2.7661335,2.2586098,135,836
akoranga,-0.9740162,-2.9056017000000005,135,837
poaka,-2.0805411,2.4603453,134,838
kupenga,-0.8732184999999999,3.0828252,134,839
paunga,-0.3864567,0.3836288,134,840
whāinga,-2.7142403,-1.8646704,134,841
whakaata,-1.6367743,-3.6284175,134,842
whakautu,-1.3844311000000002,-0.94825697,134,843
wairau,1.9958153000000003,2.8134627,134,844
tirohanga,-1.9599305,-3.269989,134,845
poari_kaitiaki,0.1832459,-3.4497933,134,846
ngahuru,-0.5799474,1.0031690999999998,133,847
teihana,0.84086204,1.7209983,133,848
anei,-2.1552792000000003,-3.4964967,133,849
pepa,-2.0269556,-4.0787635,133,850
hōne_heke,1.9484866000000003,-1.5058181000000002,133,851
herea,-0.38238984,2.656385,132,852
koirā,-0.939959,0.048205324,132,853
irāmutu,3.9389462,-1.9521835,132,854
ngāruawāhia,0.84925354,-1.9441539,132,855
pōtatau,1.5560775,-2.2674067000000004,132,856
mano,-1.1119684,0.45470643,131,857
hōrapa,-1.1941868,0.5554503000000001,131,858
hoahoa,-1.502655,-2.601198,131,859
ōpōtiki,2.5071778,2.1052222,131,860
hirini,3.102559,-2.821298,131,861
puehu,0.16829441,0.16194452,130,862
ata,-0.41788387,0.93048173,130,863
nohoanga,-3.1118305,-0.03508496,130,864
whakataukī,-1.8516948,-2.9111316,130,865
raranga,-0.5980635999999999,2.860815,130,866
mahara,-1.2802882,-1.6252729,130,867
whakaaturia,-2.1770256000000003,-3.3997433,129,868
ihu,0.0025799999,1.5209081,129,869
hoe,-0.05198061,1.9586561,129,870
ōhinemutu,2.1026819,1.8347261,129,871
maru,-0.2737585,-0.31834054,129,872
puritia,-1.2050018,-0.2451056,128,873
kaua,-1.4954396,0.37182856,128,874
whutupaoro,0.44839856,-4.4272447,128,875
kōura,-1.7097476000000005,3.1451058,127,876
haumi,0.8184640000000001,-0.0099967085,127,877
tūrangawaewae,0.8113862,-1.9387296000000005,127,878
āmotu,-0.12124056,-3.4310806000000005,127,879
ōtautahi,1.9973925,1.6781259999999998,127,880
hara,-1.8192573,-0.6561078,127,881
toki,-0.6172920999999999,2.765478,126,882
tangaroa,2.6923454,0.18415868,126,883
tuku_iho,-1.9770743,-2.5920155,126,884
waiapu,2.7457092,2.2052402,126,885
ngāti_maru,4.130939499999998,0.12493581,126,886
pononga,1.6013442,-0.92568845,126,887
hongi,2.5074122,-0.96554965,126,888
wīwī,-0.01200634,1.3944604,126,889
rōpū_reipa,0.8206459999999999,-3.4264858,126,890
mōmona,-1.2319597,2.1499808,125,891
ahurea,-2.3272307,-2.3214757,125,892
waipiro,-2.0110972,-0.40406153,125,893
mata,-0.8500594000000001,2.5291345,125,894
ōna_whanaunga,3.987938,-0.5304638,125,895
tanumia,1.4657745,1.4362796999999998,125,896
hinengaro,-1.3289993999999998,-2.0202973,125,897
rangatiratanga,-2.2316427000000005,-1.8394083,125,898
kaingārahu,3.755571,-0.39033413,125,899
hāhi_mihinare,1.7433511000000002,-3.1110463,125,900
maata,3.2694716,-2.8191762,125,901
whakaaetanga,-3.8927782,-1.9055728,124,902
tautohe,-2.6594174,-1.4785266,124,903
hikurangi,2.5857446,1.7480726000000002,124,904
whakaputanga,-2.1005208,-3.920767,124,905
kake,-0.36707547,0.15843329,124,906
whakatakotoria,-0.8326846999999999,-0.9932465,123,907
kawenga,-1.5163902,-0.35105273,123,908
heke_iho,3.4798892,0.30676627,123,909
kaiapoi,2.2108293,2.4583652000000003,123,910
whakanoho,-3.2998607000000004,-0.45814747,123,911
ātete,-2.6031964,-1.0696371999999998,123,912
anga,-1.5537188,2.3546872000000003,122,913
tuwhera,-0.42180297,-1.5720649,122,914
whiu,-0.8588520000000001,1.9100927,122,915
pono,-1.6999769,-1.8669225,122,916
puka,-2.0012496,-4.129217,122,917
waharoa,2.7504227,-0.6599278000000001,122,918
moa,-1.5639496000000002,2.2389932,121,919
whakanōhia,-0.30592870000000005,-1.4267006000000002,121,920
poto,-1.2173012,1.7536616000000005,121,921
kaiako,-0.4910735,-3.0438788,121,922
korokī,1.4424285,-2.2829490000000003,121,923
taumaha,-2.144298,0.5709392,120,924
mahere,-2.5162904,-2.8050487,120,925
auaha,-1.7732936,1.5378988,120,926
tāmihana,2.0558448,-1.6429093999999995,120,927
kaikōrero,0.8683755,-3.168198,120,928
mautohe,-2.5014708,-1.2201955,120,929
maungapōhatu,2.658088,3.007387,120,930
ahau,-1.2463791000000002,0.92980194,120,931
kaiwhakaako,-0.50631565,-2.9889994,120,932
tatū,-2.1915343,-0.007740698000000002,119,933
takahia,-2.6542714,-0.38767892,119,934
kaipara,2.5640326,2.4711897,119,935
kōrerotia,-1.1399558,-0.6473215999999999,119,936
pakaru,0.42876193,0.56644696,119,937
tītī,-1.716004,2.9562569,118,938
tōtara,-0.31004623,3.204197,118,939
pei,-1.4124723999999995,-4.306128,118,940
kura_tuarua,-0.3375238,-2.8619378,118,941
pōuri,-1.57656,-0.39987817,117,942
tirotiro,-3.2932596,-1.5799866000000002,117,943
whiua,-0.8172444000000001,-0.08036026,117,944
raru,-2.1689725,-0.9206187,117,945
whakahaerenga,-3.0296495,-1.3819958,116,946
mātenga,2.4628937,-1.3809052,116,947
hanganga,-2.8014537999999995,-1.5976018,116,948
teitei,-2.3694932,1.0196438,116,949
korowai,-0.36017550000000004,2.4815047000000003,116,950
hongi_hika,2.5654516,-0.9075322,116,951
rawatia,-0.8999636999999999,-0.4245294,116,952
pāpāwai,2.5158129,1.4545378999999998,116,953
huna,-0.6471131999999999,1.3814985,116,954
whakarewarewa,2.0240865,1.8750343,116,955
reo_irirangi,-1.4846817,-3.7624843,116,956
taiwhanga,-0.71685475,-3.3014731,116,957
pae_maunga,1.7562919,3.0433173,115,958
paku,-2.2622783,0.6289399,115,959
whakangahau,-0.8449898000000001,-3.9948614,115,960
hopukina,-0.7449107,-0.29859188,114,961
whakaheke,3.3953779,0.3232483,114,962
raukawa,3.1615832000000004,1.0371450999999998,114,963
mārō,-1.9012933,-0.4479857,114,964
aituā,0.21293204,0.51790637,114,965
ākonga,-0.6634386999999999,-2.9165025,114,966
whānautanga,4.0966287,-1.3275521,113,967
ōrākei,-3.69719,-0.19516528,113,968
ngaki,1.7496618000000002,0.084560305,112,969
whanake,-2.7571950000000003,-0.44807497,112,970
hītori,-2.1167212,-2.8983922000000004,112,971
tākitimu,3.3773823,1.1076496999999998,112,972
rūri,-3.5985096,-0.74435055,112,973
