word,x_coord,y_coord,word_count
hokianga,58.01901,-2.2979414,298
tae_noa,3.646475,-9.933139,298
whanga,52.05396,-15.987508,297
mokopuna,28.973846,47.298794,296
noema,29.077723,8.703993,296
tō_rāua,33.61132,19.273447,294
hononga,-41.755074,-19.482464,293
hoariri,22.420792,-13.15891,292
karaitiana,-11.110144,41.450405,291
tāwāhi,0.89070904,-30.4478,290
waipounamu,62.19309,-12.95978,288
oketopa,28.072586,9.359229,287
tīhema,27.8502,9.083315,287
tokotoru,25.100033,45.45724,287
kāreti,-15.63307,31.97131,286
puea,-1.7645375,31.773108,285
tawhito,-37.200485,-39.180996,285
tuhinga,-47.329044,19.503798,285
tonoa,-21.196259,5.838232,284
tuna,9.026298,-61.36785,283
tuakana,20.341215,54.526405,283
tere,-15.045274,-30.804083,282
tinana,19.898542,-40.819065,281
aroha,-22.335405,-11.913819,281
tāwhiao,2.9470017,32.36614,281
ōrau,-20.8861,-40.684963,280
hauora,-53.7488,-24.096338,280
titiro,-27.469555,-24.137154,279
matauamāui,56.949528,3.899206,279
aro,-28.401148,-9.021749,278
hāunga,-17.114422,-22.020006,276
tohorā,33.91013,-28.555172,276
kuini,2.2122133,36.300217,276
hokohoko,1.7300146,-39.095596,275
tōna_whaea,20.71701,51.221542,275
oranga,-21.628273,-33.42328,274
karanga,4.0079803,19.614424,274
hapori,-54.333767,-23.60198,274
rūnanga,-29.88637,44.78663,274
nga,-10.46331,-9.978588,273
pēwhairangi,57.969803,-1.9082787,273
whakawhiti,10.7702,-10.474184,273
heretaunga,56.89889,4.380061,273
uaua,-22.081034,-27.167593,271
kau,-14.284583,-43.14517,271
rāwhiti,57.35603,-11.98674,271
puta_noa,2.977986,-27.107546,270
ngāpuhi,43.383755,26.879513,269
tāmaki,55.896023,-4.4248576,269
wai_pounamu,61.397285,-14.210981,266
tai,45.66797,-19.098295,265
tangi,22.62559,-38.452633,265
kurī,4.4838624,-50.39634,264
hepetema,28.554869,9.467072,264
hauhau,24.054285,14.05773,264
